product_name,quantity,bought_price,sold_price,expiration_date,date_sold,revenue
Grapes,20,0.8,2,2023-12-10,2023-11-24,24.0
Melons,5,2,8,2023-11-25,2023-11-24,30.0
Melons,5,2,8,2023-11-28,2023-11-24,30.0
Melons,5,2.0,8,2023-12-10,2023-11-24,30.0
Melons,5,2.0,8,2023-11-25,2023-11-24,30.0
Melons,5,2.0,8,2023-11-25,2023-11-24,30.0
Melons,1,2.0,8,2023-11-25,2023-11-25,6.0
Melons,1,2.0,8,2023-11-25,2023-11-25,6.0
Melons,1,2.0,8,2023-11-25,2023-11-25,6.0
Melons,1,2.0,8,2023-11-25,2023-11-25,6.0
Melons,1,2.0,8,2023-11-25,2023-11-26,6.0
Melons,1,2.0,8,2023-11-25,2023-11-26,6.0
Melons,1,2.0,8,2023-11-25,2023-11-26,6.0
Melons,1,2.0,8,2023-11-25,2023-11-26,6.0
Melons,1,2.0,8,2023-11-25,2023-11-27,6.0
Melons,1,2.0,8,2023-11-25,2023-11-27,6.0
Melons,5,2.0,8,2023-11-25,2023-11-27,30.0
Melons,5,2.0,8,2023-11-25,2023-11-27,30.0
Melons,5,2.0,8,2023-11-25,2023-11-28,30.0
Melons,5,2.0,8,2023-11-25,2023-11-28,30.0
Melons,15,2.0,8,2023-11-25,2023-11-28,90.0
Melons,1,2.0,8,2023-11-25,2023-11-28,6.0
Melons,1,2.0,8,2023-11-28,2023-11-29,6.0
Melons,4,2.0,8,2023-11-28,2023-11-29,24.0
Melons,5,2.0,8,2023-11-28,2023-11-29,30.0
Mangos,20,1.2,6.5,2023-12-08,2023-11-28,106.0
